Batch,Para1,Para2,Para3,Para4,Para5
472,0.421,0.433,47251,298.75,1029
473,0.421,0.44,50557,314,1097
474,0.421,0.438,48130,313.75,1172
475,0.417,0.42625,47953,300.5,1026
476,0.425,0.445,53515,314.75,1143
477,0.421,0.446,56972,314.5,858
478,0.417,0.4555,56328,315,772
479,0.421,0.449,46683,313.25,866
480,0.417,0.45925,42714,318.5,875
481,0.417,0.43375,45176,306.5,882
482,0.421,0.45275,53354,310,915
483,0.421,0.45,62887,335,1099
484,0.421,0.441,48724,299.25,1004
485,0.417,0.42275,41780,306.25,1069
486,0.421,0.43025,43789,296.5,1031
487,0.417,0.43075,52550,313,864
488,0.421,0.43525,47872,317.25,782
489,0.421,0.4385,47889,315.5,878
490,0.417,0.425,48808,317.25,828
491,0.417,0.43775,45510,318.5,770
492,0.417,0.424,47598,292.75,707
493,0.417,0.4315,51248,316.5,802
494,0.417,0.4425,49207,313,849
495,0.425,0.44475,55058,310.5,770
496,0.423,0.443,50007,306.75,1078
497,0.421,0.4325,56216,310.25,756
498,0.417,0.44625,52920,316,1150
499,0.417,0.45675,49834,306.5,915
500,0.425,0.4455,49593,315.75,914
501,0.421,0.44175,52245,319.25,1052
502,0.421,0.4505,56039,316.75,1057
503,0.417,0.443,46699,313.25,784
504,0.421,0.4395,47438,305,931
505,0.421,0.441,45027,306,850
506,0.421,0.43025,46136,305.5,854
507,0.421,0.433,45092,310,833
508,0.417,0.4345,50862,321.25,1092
509,0.417,0.4395,51200,306.75,805
510,0.417,0.43675,51602,302.75,634
511,0.417,0.4305,49071,303.75,850
512,0.417,0.435,47776,304.75,796
513,0.417,0.446,50605,321,686
514,0.417,0.444,54158,321,910
515,0.417,0.435,47390,308.25,864
516,0.417,0.42775,44561,299,835
517,0.421,0.4535,56167,318.5,864
518,0.421,0.432,42359,315,976
519,0.421,0.43675,42841,310.25,970
520,0.425,0.43425,52856,324,1118
521,0.425,0.444,50107,314,955
522,0.421,0.43575,52277,308.75,760
523,0.425,0.4545,50589,319.75,917
524,0.417,0.4435,50621,318.75,1158
525,0.421,0.425,47229,295.75,833
526,0.417,0.458,53242,323.75,976
527,0.417,0.4475,51474,319.75,858
528,0.417,0.4435,46780,305.25,816
529,0.421,0.4275,46281,306.5,873
530,0.417,0.44175,45140,305,976
531,0.417,0.4265,40012,294,914
532,0.417,0.4225,45429,303.25,934
533,0.417,0.44375,45879,312.75,1012
534,0.417,0.437,44063,312,928
535,0.417,0.433,44625,313.25,849
536,0.413,0.42525,46538,310.25,970
537,0.421,0.443,48701,320,850
538,0.425,0.43975,50959,316.25,1045
539,0.421,0.42775,42954,306.5,900
540,0.417,0.42875,52872,317.75,812
541,0.417,0.4295,49994,305.25,882
542,0.417,0.42425,47583,313.75,852
543,0.413,0.42775,49930,315,954
544,0.413,0.4455,53885,304.25,931
545,0.417,0.43125,48934,311,793
546,0.421,0.433,46731,305.75,800
547,0.417,0.45175,53017,323.75,747
548,0.417,0.4575,51216,323,800
549,0.421,0.43075,61440,307,954
550,0.433,0.4375,54094,303.25,858
551,0.417,0.42775,45172,309.5,936
552,0.417,0.4215,43918,302.75,872
553,0.417,0.44625,47872,411.6666667,758
554,0.417,0.434,47503,313.5,718
555,0.417,0.456,57646,315.25,826
556,0.417,0.4325,52100,310.5,766
557,0.417,0.44075,42696,306.75,968
558,0.413,0.42925,48338,316.75,679
559,0.413,0.441,49190,316,649
560,0.417,0.42825,42873,312,901
561,0.433,0.435,47214,302,1200
562,0.417,0.43225,52052,301.75,793
563,0.415,0.43275,49239,317,896
564,0.415,0.43,50428,313.5,1036
565,0.413,0.441,44931,306.75,830
566,0.433,0.45775,47728,323.25,740
567,0.421,0.4465,52534,309.25,756
568,0.417,0.4395,51522,308.25,698
569,0.417,0.4295,52068,320.75,1031
570,0.421,0.4405,48483,309.25,1074
571,0.417,0.44725,53226,306.75,1015
572,0.417,0.42175,42037,288.5,728
573,0.421,0.41775,44320,284,728
574,0.413,0.43425,47856,304.25,864
575,0.417,0.43175,46780,306.25,971
576,0.417,0.43,52599,306.25,870
577,0.417,0.43375,53901,302.25,774
578,0.417,0.45225,55267,312.75,744
579,0.413,0.45325,47198,319.25,987
580,0.421,0.4255,44963,306.5,804
581,0.415,0.418,44658,304.75,868
582,0.417,0.43925,54432,322.25,948
583,0.417,0.4485,54142,326.25,1169
584,0.417,0.4425,47149,328,1104
585,0.417,0.4525,55572,308.5,872
586,0.421,0.44225,48628,313.75,936
587,0.409,0.44575,47117,323.75,905
588,0.417,0.4505,50590,323.75,990
589,0.417,0.44,58965,307.5,896
590,0.417,0.43475,51972,313.75,882
591,0.417,0.44325,48210,304.5,856
592,0.421,0.435,51788,312,959
593,0.409,0.44775,51554,313.25,780
594,0.413,0.43,48178,314,817
595,0.433,0.44175,49770,308,788
596,0.417,0.45375,54801,311.5,821
597,0.409,0.443,48596,306,693
598,0.417,0.44275,51779,310,849
599,0.417,0.44925,48226,302.75,850
600,0.413,0.43925,51297,318.75,970
601,0.417,0.43358,49046,314.75,970
602,0.417,0.436,47294,313,971
603,0.417,0.45,49834,313,896
604,0.413,0.4375,43088,306,919
605,0.415,0.463,58836,313.75,1004
606,0.413,0.455,43902,317.25,912
607,0.417,0.437,49721,305,761
608,0.417,0.4345,44111,304,844
609,0.417,0.4515,54334,316.5,877
610,0.425,0.43825,44336,304.5,794
611,0.413,0.42875,43998,305,802
612,0.413,0.4445,47953,325,978
613,0.417,0.45125,48387,326.5,966
614,0.417,0.4365,55621,314.25,1040
615,0.417,0.439,47891,302.75,1003
616,0.413,0.43925,50782,311,696
617,0.417,0.43675,52631,313.25,1080
618,0.433,0.44725,54383,323,998
619,0.425,0.44,48757,316,1024
620,0.417,0.42875,48564,305.75,877
621,0.425,0.44375,48001,310,945
622,0.419,0.40975,46956,304.75,1076
623,0.425,0.43875,51924,315,870
624,0.425,0.42825,46780,302.5,842
625,0.417,0.4435,46506,306.5,926
626,0.417,0.44175,56328,320,1101
627,0.417,0.42375,42150,313.5,901
628,0.417,0.43425,45590,304.5,696
629,0.421,0.4290525,52310,300.5,796
630,0.417,0.4295,48644,417.6666667,833
631,0.417,0.4555,48580,303.5,772
632,0.417,0.4355,43548,299.75,807
633,0.425,0.4215,43580,298.5,940
634,0.425,0.445,48371,305,891
635,0.425,0.44625,47664,315.5,884
636,0.421,0.43525,45494,311.25,966
637,0.421,0.438,52100,306,770
638,0.421,0.44625,59334,316.25,912
639,0.417,0.4425,48258,326,989
640,0.421,0.43025,49126,311.75,1003
641,0.413,0.4465,47053,316.75,761
642,0.413,0.43975,45638,309.5,854
643,0.421,0.4205,47374,299,863
644,0.421,0.437,46522,300,842
645,0.421,0.432,43146,297.75,747
646,0.417,0.42925,46274,321.75,1018
647,0.417,0.423,44208,304.75,980
648,0.417,0.42525,47245,311.25,984
649,0.425,0.46625,50139,314.25,910
650,0.421,0.432,51747,312.75,872
651,0.421,0.424,42278,307.25,854
652,0.429,0.44425,50548,311.75,864
653,0.421,0.42675,42970,294.25,770
